date_of_report,date_of_reports,ref,deceased_name,deceased_names,coroner_name,coroner_area,category,this_report_is_being_sent_to,these_report_are_being_sent_to,url
25 September 2020,,2020-0199,Marian Day,,Elizabeth Didcock,Nottinghamshire and Nottingham,Hospital death (Clinical procedures and medical management) related deaths,Sherwood Forest Hospitals NHS Foundation Trust,,https://www.judiciary.uk/prevention-of-future-death-reports/marian-day/
5 October 2020,,2020-0198,Joan Sanderson,,Alison Mutch,Greater Manchester South,Hospital death (Clinical procedures and medical management) related deaths,Greater Manchester Health & Social Care Partnership; Healthcare Safety Investigation Branch,,https://www.judiciary.uk/prevention-of-future-death-reports/joan-sanderson/
5 October 2020,,2020-0197,Frazer Golden,,James Thompson,County Durham and Darlington,Road (Highways safety) related deaths,Durham County Council,,https://www.judiciary.uk/prevention-of-future-death-reports/frazer-golden/
24 September 2020,,2020-0196,Zak Farmer,,Caroline Beasley-Murray,Essex,Mental health related deaths; Community healthcare related deaths,EPUT; The Castle Rock Group,,https://www.judiciary.uk/prevention-of-future-death-reports/zak-farmer/
5 October 2020,,2020-0195,Wesley Rowlands,,Nicholas Rheinberg,Lancashire and Blackburn with Darwen,State custody related deaths,HMP Garth,,https://www.judiciary.uk/prevention-of-future-death-reports/wesley-rowlands/
1 October 2020,,2020-0194,Daphne McKenna,,Crispin Oliver,West Yorkshire (Western),Other related deaths,Calderdale Council,,https://www.judiciary.uk/prevention-of-future-death-reports/daphne-mckenna/
2 October 2020,,2020-0193,Brian Murphy,,Alison Mutch,Greater Manchester South,Hospital death (Clinical procedure and medical management) related deaths; Community healthcare related deaths,NHS Stockport Clinical Commissioning Group,,https://www.judiciary.uk/prevention-of-future-death-reports/brian-murphy/
2 October 2020,,2020-0192,Christine Neild,,Alison Mutch,Greater Manchester South,Care home health related deaths; Other related deaths,Care Quality Commission; Meade Close Care Home; Trafford Metropolitan Borough Council; NHS Trafford Clinical Commissioning Group,,https://www.judiciary.uk/prevention-of-future-death-reports/christine-neild/
30 September 2020,,2020-0191,Mavis Lawrence,,Margaret Jones,Stoke-on-Trent & North Staffordshire Coroner’s Court,Care home health related deaths; Community healthcare related deaths,Midlands Partnership NHS Foundation Trust; Beechdene Residential Home; Leek Health Centre,,https://www.judiciary.uk/prevention-of-future-death-reports/mavis-lawrence/
9 September 2020,,2020-0190,Alyn Rees,,Caroline Saunders,Gwent,Emergency services related deaths; Wales prevention of future deaths reports,Welsh Ambulance Services NHS Trust; Aneurin Bevan University Health Board,,https://www.judiciary.uk/prevention-of-future-death-reports/alyn-rees/
30 September 2020,,2020-0189,Joseph Cheetham,,Alison Mutch,Greater Manchester South,Community healthcare related deaths; Hospital death (Clinical procedures and medical management) related deaths,Department of Health and Social Care; Greater Manchester Health & Social Care Partnership; The Healthcare Safety Investigation Branch,,https://www.judiciary.uk/prevention-of-future-death-reports/joseph-cheetham/
25 September 2020,,2020-0188,Susan Warby,,Nigel Parsley,Suffolk,Hospital death (Clinical procedures and medical management) related deaths,Department of Health and Social Care; Medicines and Healthcare Products Regulatory Agency,,https://www.judiciary.uk/prevention-of-future-death-reports/susan-warby/
29 September 2020,,2020-0187,Sarah Ferneyhough,,Caroline Beasley-Murray,Essex,"Alcohol, drug and medication related deaths; Emergency services related deaths",Emergency Call Prioritisation Advisory Group; Association of Ambulance Chief Executives; AACE’s National Directors of Operations Group; National Association of Ambulance Medical Directors,,https://www.judiciary.uk/prevention-of-future-death-reports/sarah-ferneyhough/
28 September 2020,,2020-0186,June Parlour,,Lincoln Brookes,Essex,Hospital death (Clinical procedures and medical management) related deaths,East Suffolk and North Essex NHS Foundation Trust,,https://www.judiciary.uk/prevention-of-future-death-reports/june-parlour/
28 September 2020,,2020-0185,William McKibbin,,Chris Morris,Greater Manchester South,Hospital death (Clinical procedures and medical management) related deaths,Manchester University Hospitals NHS Foundation Trust; Department of Health and Social Care; NHS England; Care Quality Commission,,https://www.judiciary.uk/prevention-of-future-death-reports/william-mckibbin/
25 September 2020,,2020-0184,Valdotas Gerbutavicius,,Nadia Persaud,East London,Other related deaths,Home Office,,https://www.judiciary.uk/prevention-of-future-death-reports/valdotas-gerbutavicius/
24 September 2020,,2020-0183,June Winterbottom,,Kevin McLoughlin,West Yorkshire (East),Community healthcare related deaths,Health and Communities Wakefield,,https://www.judiciary.uk/prevention-of-future-death-reports/june-winterbottom/
23 September 2020,,2020-0182,Andres Roberts,,Colin Phillips,Swansea and Neath Port Talbot,Emergency services related deaths; Wales Prevention of Future Death Reports,Welsh Ambulance Services NHS Trust; Department for Health and Social Care,,https://www.judiciary.uk/prevention-of-future-death-reports/andres-roberts/
23 September 2020,,2020-0181,Christine Forbes,,Emma Serrano,Derby and Derbyshire,Community healthcare related deaths,Clinical Commissioning Groups; NHS England; Primary Care Support England,,https://www.judiciary.uk/prevention-of-future-death-reports/christine-forbes/
23 September 2020,,2020-0180,Jane Jowers,,Nadia Persaud,East London,Care home health related deaths,Disclosure and Barring Service,,https://www.judiciary.uk/prevention-of-future-death-reports/jane-jowers/
23 September 2020,,2020-0179,Brett Marrs,,Nicholas Rheinberg,Lancashire and Blackburn with Darwen,State custody related deaths,HMP Wymott,,https://www.judiciary.uk/prevention-of-future-death-reports/brett-marrs/
21 September 2020,,2020-0178,Paul Reynolds,,Ian Arrow,"Plymouth, Torbay and South Devon",Hospital death (Clinical procedures and medical management) related deaths,Derriford Hospital,,https://www.judiciary.uk/prevention-of-future-death-reports/paul-reynolds/
18 September 2020,,2020-0177,Macloud Nyeruke,,Kevin McLoughlin,West Yorkshire (East),Accident at Work and Health and Safety related deaths; Other related deaths,Leeds Teaching Hospitals NHS Trust; Reed Nursing Trust,,https://www.judiciary.uk/prevention-of-future-death-reports/macloud-nyeruke/
14 September 2020,,2020-0176,Yugal Limbu,,Sonia Hayes,Central and South East Kent,Other related deaths,Kent County Council; Ashford Borough Council,,https://www.judiciary.uk/prevention-of-future-death-reports/yugal-limbu/
18 September 2020,,2020-0175,Joseph Nihill,,Kevin McLoughlin,West Yorkshire (East),Suicide; Other related deaths,Department of Health and Social Care,,https://www.judiciary.uk/prevention-of-future-death-reports/joseph-nihill/
14 September 2020,,2020-0174,Isaac Newton,,Alan Wilson,Blackpool & Fylde,Child death; Other related deaths,Department of Health and Social Care,,https://www.judiciary.uk/prevention-of-future-death-reports/isaac-newton/
9 September 2020,,2020-0173,Frederick Terry,,Caroline Beasley-Murray,Essex,Child death; Hospital death (Clinical procedures and medical management) related deaths,Mid and South Essex NHS Foundation Trust,,https://www.judiciary.uk/prevention-of-future-death-reports/frederick-terry/
8 September 2020,,2020-0172,Linda Phillipson,,Veronica Hamilton-Deeley,Brighton and Hove,Hospital death (Clinical procedures and medical management) related deaths,Western Sussex Hospital Trust,,https://www.judiciary.uk/prevention-of-future-death-reports/linda-phillipson/
8 September 2020,,2020-0171,Peter Howarth,,Chris Morris,Greater Manchester South,Care Home health related deaths; Hospital death (Clinical procedures and medical management) related deaths,Borough Care,,https://www.judiciary.uk/prevention-of-future-death-reports/peter-howarth/
3 September 2020,,2020-0170,Laura Parsons,,James Thompson,County Durham & Darlington,Community healthcare deaths,Department for Health and Social Care,,https://www.judiciary.uk/prevention-of-future-death-reports/laura-parsons/
7 September 2020,,2020-0169,Ellie Isaacs,,Nadia Persaud,East London,Road (Highways Safety) related safety,Havering Highways,,https://www.judiciary.uk/prevention-of-future-death-reports/ellie-isaacs/
4 September 2020,,2020-0168,Zoe Knight,,Adrian Farrow,South Manchester,Hospital Death (Clinical procedures and medical management) related deaths,National Institute for Health and Care Excellence,,https://www.judiciary.uk/prevention-of-future-death-reports/zoe-knight/
28 August 2020,,2020-0167,Carlington Spencer,,Timothy Brennand,Lincolnshire,State Custody related deaths,Morton Hall Immigration Removal Centre; Nottingham Healthcare NHS Foundation Trust,,https://www.judiciary.uk/prevention-of-future-death-reports/carlington-spencer/
25 August 2020,,2020-0166,Daniel Coleman,,M E Hassell,Inner North London,"Alcohol, drug and medication related deaths; Other related deaths",Camden Council; First Response Group,,https://www.judiciary.uk/prevention-of-future-death-reports/daniel-coleman/
27 August 2020,,2020-0165,Dereck John Chapman,,Alan Wilson,Blackpool & Fylde,Care Home health related deaths,Rossendale Nursing Home,,https://www.judiciary.uk/prevention-of-future-death-reports/dereck-john-chapman/
26 August 2020,,2020-0164,Toby Nieland,,Timothy Brennand,Lincolnshire,"Alcohol, drug and medication related deaths; Community healthcare related deaths; Mental health related deaths",South Lincolnshire Clinical Commissioning Group; Lincolnshire County Council; We Are With You charity; Lincolnshire Partnership NHS Foundation Trust,,https://www.judiciary.uk/prevention-of-future-death-reports/toby-nieland/
18 August 2020,,2020-0163,Viktor Scott-Brown,,Oliver Longstaff,County Durham and Darlington,Suicide; Community healthcare related deaths,"NICE; South London and Maudsley NHS Foundation Trust; Oxleas NHS Foundation Trust; Informa Healthcare; Tees, Esk and Wear Valleys NHS Foundation Trust",,https://www.judiciary.uk/prevention-of-future-death-reports/viktor-scott-brown/
21 August 2020,,2020-0162,Malyun Karama,,M E Hassell,Inner North London,Hospital death (Clinical procedure and medical management) related deaths,Royal Free Hospital,,https://www.judiciary.uk/prevention-of-future-death-reports/malyun-karama/
17 August 2020,,2020-0161,Ian Allen,,Louise Hunt,Birmingham and Solihull,"Care Home health deaths; Alcohol, drug and medication related deaths",Birmingham and Solihull Mental Health Foundation Trust; Department for Health and Social Care,,https://www.judiciary.uk/prevention-of-future-death-reports/ian-allen/
11 August 2020,,2020-0160,Moses Boardman,,Graeme Irvine,East London,Other related deaths,Barts Health NHS Trust; London Borough of Tower Hamlets; Three Sisters Care Ltd;,,https://www.judiciary.uk/prevention-of-future-death-reports/moses-boardman/
14 August 2020,,2020-0159,Brenda Elmer,,Penelope Schofield,West Sussex,Hospital death (Clinical procedures and medical management) related deaths; Product related deaths,NHS England; Public Health England,,https://www.judiciary.uk/prevention-of-future-death-reports/brenda-elmer/
6 August 2020,,2020-0158,Theresa Robertson,,Graeme Irvine,East London,"Alcohol, drug and medication related deaths; Community healthcare related deaths",Rush Green Medical Centre,,https://www.judiciary.uk/prevention-of-future-death-reports/theresa-robertson/
4 June 2020,,2020-0157,George Townsend,,Alison Mutch,Greater Manchester South,"Community healthcare related deaths, Hospital death (Clinical procedures and medical management) related deaths",NHS Trafford Clinical Commissioning Group,,https://www.judiciary.uk/prevention-of-future-death-reports/george-townsend/
11 August 2020,,2020-0156,Sylvia Scully,,Chris Morris,Greater Manchester South,Hospital death (Clinical procedures and medical management) related deaths,Royal College of Radiologists; Tameside and Glossop Integrated Care NHS Foundation Trust,,https://www.judiciary.uk/prevention-of-future-death-reports/sylvia-scully/
23 April 2020,,2020-0155,Patricia Ferguson,,Gordon Clow,Nottinghamshire & Nottingham,Mental health related deaths; Suicide; Community healthcare related deaths,Bassetlaw; Mansfield and Ashfield; Newark and Sherwood; Nottingham North and East; Nottingham West; Rushcliffe; Nottingham City Clinical Commissioning Groups,,https://www.judiciary.uk/prevention-of-future-death-reports/patricia-ferguson/
10 August 2020,,2020-0154,Francis Cooney,,Emma Brown,Birmingham & Solihull,Suicide; Community healthcare related deaths,University Hospitals Birmingham NHS Foundation Trust,,https://www.judiciary.uk/prevention-of-future-death-reports/francis-cooney/
7 August 2020,,2020-0153,Anthony Williamson,,Andrew Cox,Cornwall & Isles of Scilly,Other related deaths,Royal National Lifeboat Institution; Maritime Coastguard Agency,,https://www.judiciary.uk/prevention-of-future-death-reports/anthony-williamson/
7 August 2020,,2020-0152,Jan Klempar,,Andrew Cox,Cornwall & Isles of Scilly,Other related deaths,Royal National Lifeboat Institution; Maritime Coastguard Agency,,https://www.judiciary.uk/prevention-of-future-death-reports/jan-klempar/
5 August 2020,,2020-0151,Alana Cutland,,Tom Osborne,Milton Keynes,"Alcohol, drug and medication related deaths; Other related deaths",Medicines and Healthcare Products Regulatory Agency,,https://www.judiciary.uk/prevention-of-future-death-reports/alana-cutland/
5 August 2020,,2020-0150,Richard King,,Tom Osborne,Milton Keynes,Emergency Services related deaths,South Central Ambulance Service,,https://www.judiciary.uk/prevention-of-future-death-reports/richard-king/
4 August 2020,,2020-0149,Pauline Russell,,Yvonne Blake,Norfolk,"Alcohol, drug and medication related deaths; Hospital death (clinical procedures and medical management) related deaths",James Paget University Hospital,,https://www.judiciary.uk/prevention-of-future-death-reports/pauline-russell/
6 July 2020,,2020-0148,Prince Fosu,,Chinyere Inyama,West London,State Custody related deaths,Central & North West London NHS Foundation Trust; Independent Monitoring Board,,https://www.judiciary.uk/prevention-of-future-death-reports/prince-fosu/
31 July 2020,,2020-0147,Amy Hogan,,Christopher Morris,Manchester South,"Alcohol, drug and medication related deaths; Community healthcare related deaths",Department for Health and Social Care; NHS England,,https://www.judiciary.uk/prevention-of-future-death-reports/amy-hogan/
30 July 2020,,2020-0146,Reginald Collins,,Alison Mutch,Manchester South,Hospital Death (Clinical procedures and medical management) related deaths,Department of Health and Social Care; Greater Manchester Health and Social Care Partnership,,https://www.judiciary.uk/prevention-of-future-death-reports/reginald-collins/
27/07/2020,,2020-0145,Samuel Garner,,Alison Mutch,Greater Manchester South,Care home health related deaths; Hospital death (Clinical procedures and medical management) related deaths,Department of Health and Social Care; Greater Manchester Health and Social Care Partnership,,https://www.judiciary.uk/prevention-of-future-death-reports/samuel-garner/
17 July 2020,,2020-0144,Jerrelle McKenzie,,Emma Whitting,Bedfordshire and Luton,"Alcohol, drug and medication related deaths","Secretary of State; Department for Digital, Culture, Media and Sport",,https://www.judiciary.uk/prevention-of-future-death-reports/jerrelle-mckenzie/
16 July 2020,,2020-0143,Kobi Wright,,Jacqueline Lake,Norfolk,Hospital death (Clinical procedures and medical management related deaths; Child death,James Paget University Hospital,,https://www.judiciary.uk/prevention-of-future-death-reports/kobi-wright/
2 March 2020,,2020-0142,Sophie Boothe,,Samantha Marsh,Hampshire (Central),"Mental Health related deaths; Alcohol, drug and medication related deaths",Berkshire Healthcare NHS Foundation Trust,,https://www.judiciary.uk/prevention-of-future-death-reports/sophie-boothe/
10 July 2020,,2020-0141,Gwilym Price,,Andrew Haigh,Staffordshire South,Mental Health related deaths,Stafford and Surrounds Clinical Commissioning Group; Midlands and Lancashire Commissioning Support Unit,,https://www.judiciary.uk/prevention-of-future-death-reports/gwilym-price/
13 July 2020,,2020-0140,John Cheetham,,Alison Mutch,Greater Manchester South,Hospital Death (Clinical Procedures and medical management) related deaths; Emergency services related deaths,Department of Health and Social Care; Greater Manchester Health and Social Care Partnership,,https://www.judiciary.uk/prevention-of-future-death-reports/john-cheetham/
10 July 2020,,2020-0139,Bartosz Kusiak,,Oliver Longstaff,County Durham and Darlington,Road (Highways safety) related deaths,Durham County Council Highways Section,,https://www.judiciary.uk/prevention-of-future-death-reports/bartosz-kusiak/
1 July 2020,,2020-0138,Joan McIndoe,,Alison Mutch,Manchester South,Emergency Services related deaths; Other related deaths,Department for Health and Social Care,,https://www.judiciary.uk/prevention-of-future-death-reports/joan-mcindoe/
7 February 2020,,2020-0137,Mark Mallinson,,Robert Simpson,West Sussex,Police related deaths; Suicide,Sussex Police,,https://www.judiciary.uk/prevention-of-future-death-reports/mark-mallinson/
10 October 2019,,2020-0136,Liane Davenport,,Kally Cheema,Cumbria,"Mental Health related deaths; Alcohol, drug and medication related deaths",North Cumbria University Hospitals NHS Trust,,https://www.judiciary.uk/prevention-of-future-death-reports/liane-davenport/
24 March 2020,,2020-0135,Danny Holt-Scapens,,Rachel Syed,Manchester West,Mental Health related deaths; Community healthcare related deaths; Suicide,North West Boroughs Healthcare NHS Foundation Trust,,https://www.judiciary.uk/prevention-of-future-death-reports/danny-holt-scapens/
26 June 2020,,2020-0134,Gary Etherington,,Andrew Harris,Inner South London,Mental Health related deaths; Community healthcare related deaths; Suicide,Oxleas NHS Foundation Trust,,https://www.judiciary.uk/prevention-of-future-death-reports/gary-etherington/
22 June 2020,,2020-0133,Bethan Harris,,Séan Cummings,West London,Hospital death (Clinical procedures and medical management) related deaths; Child death,St. George’s University Hospitals NHS Foundation Trust,,https://www.judiciary.uk/prevention-of-future-death-reports/bethan-harris/
25 June 2020,,2020-0132,Winifred (Mary) Redfearn,,David Ridley,Wiltshire and Swindon,Hospital death (Clinical procedures and medical management) related deaths,The Great Western Hospital NHS Foundation Trust,,https://www.judiciary.uk/prevention-of-future-death-reports/winifred-mary-redfearn/
15 June 2020,,2020-0131,Grant Macdonald,,Anita Bhardwaj,Liverpool and the Wirral,Road (Highways Safety) related deaths,Liverpool City Council; Merseyside Police,,https://www.judiciary.uk/prevention-of-future-death-reports/grant-macdonald/
17 December 2018,,2020-0130,Bertram Crawford,,Maria Voisin,Avon,Other related deaths,Suspension Bridge Trustees,,https://www.judiciary.uk/prevention-of-future-death-reports/bertram-crawford/
30/01/2020,,2020-0129,Julie O’Connor,,Maria Voisin,Avon,Community healthcare related deaths,Department for Health and Social Care; Royal College of Obstetricians and Gynaecologists,,https://www.judiciary.uk/prevention-of-future-death-reports/julie-oconnor/
16 June 2020,,2020-0128,Joan Williams,,Emma Whitting,Bedfordshire and Luton Coroner,Road (Highways Safety) related deaths,Department for Transport,,https://www.judiciary.uk/prevention-of-future-death-reports/joan-williams/
3 June 2020,,2020-0127,Allan Watt,,Nicholas Shaw,Cumbria,Hospital Death (Clinical Procedures and Medical Management) related deaths,North Cumbria Integrated Care Trust,,https://www.judiciary.uk/prevention-of-future-death-reports/allan-watt/
8 June 2020,,2020-0126,Mildred Horrex,,Penelope Schofield,West Sussex,Care home health related deaths; Other related deaths,"Pelham House, West Sussex",,https://www.judiciary.uk/prevention-of-future-death-reports/mildred-horrex/
9 June 2020,,2020-0125,Mitica Ladunca,,Anna Crawford,Surrey,Road (Highways Safety) related deaths,Senior Highway Engineer for Surrey,,https://www.judiciary.uk/prevention-of-future-death-reports/mitica-ladunca/
27 January 2020,,2020-0124,Shanté Turay-Thomas,,Mary Hassell,Inner North London,Emergency services related deaths; Community healthcare related deaths; Other related deaths,Winchmore Hill Practice; Enfield Clinical Commissioning Group; Bausch & Lomb UK Ltd; Medicines & Healthcare Products Regulatory Agency; London Central & West Unscheduled Care Collaborative; Advanced Health & Care Ltd; London Ambulance Service NHS Trust; Association of Ambulance Chief Executives; NHS Digital; NHS England & NHS Improvement; National Institute for Health & Care Excellence; Department of Health & Social Care,,https://www.judiciary.uk/prevention-of-future-death-reports/shante-turay-thomas/
28 May 2020,,2020-0122,Michael Pender,,Andrew Cox,Cornwall and the Isles of Scilly,Other related deaths,Department for Transport; Maritime and Coastguard Agency; Royal National Lifeboat Institute,,https://www.judiciary.uk/prevention-of-future-death-reports/michael-pender/
28 May 2020,,2020-0121,Gillian Davey,,Andrew Cox,Cornwall and the Isles of Scilly,Other related deaths,Department for Transport; Maritime and Coastguard Agency; Royal National Lifeboat Institute,,https://www.judiciary.uk/prevention-of-future-death-reports/gillian-davey/
27 December 2019,,2020-0120,Enid Baber,,Gordon Clow,Nottinghamshire and Nottingham,Other related deaths,Nottinghamshire County Council,,https://www.judiciary.uk/prevention-of-future-death-reports/enid-baber/
28 February 2020,,2020-0123,Peter Cole,,Geoffrey Sullivan,Hertfordshire,"Alcohol, drug and medication related deaths; Other related deaths",NHS England,,https://www.judiciary.uk/prevention-of-future-death-reports/peter-cole/
20 January 2016,,2016-0600,Faiza Ahmed,,Mary Hassell,Inner North London,Emergency Services related deaths; Mental Health related deaths,Metropolitan Police; London Ambulance Service NHS Trust; The Department for Work and Pensions,,https://www.judiciary.uk/prevention-of-future-death-reports/faiza-ahmed/
24 July 2015,,2015-0475,Miriam Smith-Cox,,Elizabeth Emma Carlyon,Cornwall and the Isle of Scilly,Community healthcare related deaths; Other related deaths,Cornwall Council; Pluss Work Choice; Devon and Cornwall Police Adult Safeguarding Team,,https://www.judiciary.uk/prevention-of-future-death-reports/miriam-smith-cox/
10 February 2020,,2020-0119,Sarah Young,,Emma Whitting,Bedfordshire and Luton Coroner Service,Hospital Death (Clinical Procedures and medical management) related deaths,Bedford Hospital NHS Trust,,https://www.judiciary.uk/prevention-of-future-death-reports/sarah-young/
24 September 2019,,2020-0118,Iain Macinnes,,Tom Osborne,Milton Keynes,Mental Health related deaths; Community healthcare related deaths,Central Northwest London NHS Foundation Trust,,https://www.judiciary.uk/prevention-of-future-death-reports/iain-macinnes/
17 December 2019,,2019-0510,Jamie Finlay,,Jacqueline Devonish,Suffolk,Road (Highways Safety) related deaths,Transport and Rural Affairs at Suffolk County Council,,https://www.judiciary.uk/prevention-of-future-death-reports/jamie-finlay/
5 February 2020,,2020-0116,Adam Bojelian,,Kevin McLoughlin,West Yorkshire (East),Child Death (from 2015); Other related deaths,Leeds Teaching Hospitals NHS Trust,,https://www.judiciary.uk/prevention-of-future-death-reports/adam-bojelian/
29 May 2020,,2020-0115,Flora Shen,,Jonathan Stevens,London; Inner North London,Railway related deaths,"The Office of Rail & Road; Transport for London; Train Services, DLR",,https://www.judiciary.uk/prevention-of-future-death-reports/flora-shen/
29 May 2020,,2020-0114,Omarian Brooks,,,London; London Inner South,Community healthcare related deaths,London Ambulance Service; London Borough of Lewisham; Sydenham Green Group General Practice; Lewisham & Greenwich NHS Trust,,https://www.judiciary.uk/prevention-of-future-death-reports/omarian-brooks/
28 May 2020,,2020-0113,Lesley Brass,,Robert Sowersby,Avon,Hospital Death (Clinical Procedures and medical management) related deaths; Other related deaths,North Bristol NHS Trust,,https://www.judiciary.uk/prevention-of-future-death-reports/lesley-brass/
15 May 2020,,2020-0112,Lynda Pedersen,,Patricia Harding,Central and South East Kent,Hospital Death (Clinical Procedures and medical management) related deaths,East Kent University Hospital NHS Trust; NHS England NHS Improvements,,https://www.judiciary.uk/prevention-of-future-death-reports/lynda-pedersen/
12 May 2020,,2020-0111,Harrison Hassall,,Professor Catherine Mason,Leicester City and South Leicestershire,Community healthcare related deaths; Child Death,Department of Health and Social Care,,https://www.judiciary.uk/prevention-of-future-death-reports/harrison-hassall/
4 May 2020,,2020-0110,Barry Preston,,Alison Mutch,Manchester; Greater Manchester South,Hospital Death (Clinical Procedures and medical management) related deaths,Greater Manchester Mental Health NHS Foundation Trust (GMMH); Bolton Council; Royal Bolton Hospital; Department for Health and Social Care,,https://www.judiciary.uk/prevention-of-future-death-reports/barry-preston/
12 February 2020,,2020-0109,Donald Elliott,,Paul Cooper,Lincolnshire,Care Home Health related deaths; Other related deaths,Glenholme Holdingham Grange Care Home,,https://www.judiciary.uk/prevention-of-future-death-reports/donald-elliott/
1 May 2020,,2020-0108,Barrie Copeland,,Jame Thompson,Bedfordshire and Luton,Other related deaths,"TUI UK & Ireland, Wigmore House, Wigmore Place, Wigmore, Luton, Bedforshire, LU2 9TN",,https://www.judiciary.uk/prevention-of-future-death-reports/barrie-copeland/
27 January 2020,,2020-0107,Helen Sheath,,Emma Whitting,Bedfordshire and Luton,Emergency Services related deaths; Mental Health related deaths; Other related deaths,Emergency Call Prioritisation Advisory Group (ECPAG); Association of Ambulance Chief Executives; National Association of Ambulance Medical Directors,,https://www.judiciary.uk/prevention-of-future-death-reports/helen-sheath/
27 April 2020,,2020-0106,Evelyn Ross,,Alison Mutch,Greater Manchester South,Hospital Death (Clinical Procedures and medical management) related deaths; Other related deaths,Manchester University Foundation Trust (MFT); Department of Health and Social Care,,https://www.judiciary.uk/prevention-of-future-death-reports/evelyn-ross/
24 April 2020,,2020-0105,Mary Brady,,Alison Mutch,Greater Manchester South,Care Home Health related deaths; Mental Health related deaths; Other related deaths,Care Quality Commission (CQC); Department of State for Social Care,,https://www.judiciary.uk/prevention-of-future-death-reports/mary-brady/
24 April 2020,,2020-0104,Dean George,,Colin Phillips,Swansea and Neath Port Talbot,"Alcohol, drug and medication related deaths; State Custody related deaths; Suicide; Wales prevention of future deaths reports",Department of Health,,https://www.judiciary.uk/prevention-of-future-death-reports/dean-george/
20 April 2020,,2020-0103,Andrew Jones,,Dr Jame Adeley,Lancashire and Blackburn with Darwin,"Alcohol, drug and medication related deaths; State custody related deaths; Mental Health related deaths",National Offender Management,,https://www.judiciary.uk/prevention-of-future-death-reports/andrew-jones/
23 April 2020,,2020-0102,Gordon Fenton,,Adrian Farrow,Manchester South,Hospital Death (Clinical procedures and medical management) related deaths; Mental Health related deaths,Tameside and Glossop Integrated Care NHS Foundation Trust; Pennine Care NHS Foundation Trust,,https://www.judiciary.uk/prevention-of-future-death-reports/gordon-fenton/
15 July 2019,,2019-0509,Lucy Lee,,Richard Travers,Surrey,Other related deaths,Surrey Police; The National Police Chief’s Council; The Home Secretary; Department of Health; British Medical Association,,https://www.judiciary.uk/prevention-of-future-death-reports/lucy-lee/
15 July 2019,,2019-0509A,Christine Lee,,Richard Travers,Surrey,Other related deaths,Surrey Police; The National Police Chief’s Council; The Home Secretary; Department of Health; British Medical Association,,https://www.judiciary.uk/prevention-of-future-death-reports/christine-lee/
22 April 2020,,2020-0101,Sam Pringle,,Jason Wells,Manchester South,Mental Health related deaths; Suicide (from 2015); Community health care related deaths,Greater Manchester Medicines Management Group; NHS Stockport Clinical Commission Group,,https://www.judiciary.uk/prevention-of-future-death-reports/sam-pringle/
22 April 2020,,2020-0100,David Kerr,,Jason Wells,Manchester South,Other related deaths; Hospital Death (Clinical Procedures and medical management) related deaths,Stockport NHS Foundation Trust,,https://www.judiciary.uk/prevention-of-future-death-reports/david-kerr/
22 April 2020,,2020-0099,Allan Cunliffe,,Jason Wells,Manchester South,Hospital Death (Clinical Procedures and medical management) related deaths,Pennine Care NHS Foundation Trust,,https://www.judiciary.uk/prevention-of-future-death-reports/allan-cunliffe/
22 April 2020,,2020-0098,Norman Baxter,,Chri Morris,Manchester South,Care home health related deaths,Lynmere Nursing home,,https://www.judiciary.uk/prevention-of-future-death-reports/norman-baxter/
15 April 2020,,2020-0097,Millie Taylor-Noonan,,Timothy Brennand,Lincolnshire,Road (Highways Safety) related deaths,Lincolnshire County Council Highways Department,,https://www.judiciary.uk/prevention-of-future-death-reports/millie-taylor-noonan/
17 April 2020,,2020-0096,Ashley Holden,,Paul Smith,Lincolnshire,Other related deaths; Accident at work and Health and Safety related deaths,Department of Transport; Health and Safety Executive,,https://www.judiciary.uk/prevention-of-future-death-reports/ashley-holden/
20 April 2020,,2020-0095,Wendy Wilkes,,Alison Mutch,Manchester South,"Alcohol, drug and medication related deaths; Community health care related deaths",Tameside and Glossop Clinical Commissioning Group; Greater Manchester Health and Social Care Partnership,,https://www.judiciary.uk/prevention-of-future-death-reports/wendy-wilkes/
20 April 2020,,2020-0094,Theo Young,,Karen Henderson,Surrey,Hospital Death (clinical procedures and medical management) related deaths; Child death (from 2015),HSIB; Department of Health; NHS England; East Surrey Hospital,,https://www.judiciary.uk/prevention-of-future-death-reports/theo-young/
15 April 2020,,2020-0093,Patricia McAdam,,S Ormond-Walshe,London (South),Community health care related deaths,GP Surgery Parkway Health Centre,,https://www.judiciary.uk/prevention-of-future-death-reports/patricia-mcadam/
16 May 2019,,2019-0504,Natasha Abrahart,,M E Voisin,Avon,Mental Health related deaths; Suicide (from 2015),Avon and Wiltshire NHS Mental Health Trust; The Student Health Service; Department of Health; Minister of Suicide Prevention,,https://www.judiciary.uk/prevention-of-future-death-reports/natasha-abrahart/
9 April 2020,,2020-0092,Allison Bird,,Mary Burke,West Yorkshire (west),Hospital Death (clinical Procedures and medical management) related deaths,Bradford teaching hospitals NHS Trust,,https://www.judiciary.uk/prevention-of-future-death-reports/allison-bird/
1 April 2020,,2020-0091,Jake Perry,,HG Mark Bricknell,Herefordshire,Hospital Death (clinical Procedures and medical management) related deaths,Wye Valley NHS Trust,,https://www.judiciary.uk/prevention-of-future-death-reports/jake-perry/
